기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2018,4,A,골목상권,1000265,돌곶이로28길,985465,502447,483015,32052,212300,163734,177083,204871,195431,141434,170153,168538,160170,226799,118393,141319,137982,141336,141204,142088,139135,142412
2018,4,A,골목상권,1000266,돌곶이로41길,664592,339208,325387,33953,104675,119664,128816,154913,122587,110457,135585,111630,108821,124352,73748,86665,85099,87134,82869,86474,112729,123635
2018,4,A,골목상권,1000267,돌곶이로8길,982956,543979,438964,34706,207680,144805,184687,222799,188278,188348,207540,155031,149744,175340,106968,143094,139673,143613,140302,139844,139276,137153
2018,4,A,골목상권,1000268,동소문로13길,3233957,1502772,1731194,327071,1119615,534443,450507,436596,365740,462852,454683,489263,537472,840472,449227,460441,451483,459633,451424,486582,495611,428782
2018,4,A,골목상권,1000269,동소문로15길,3089502,1424579,1664928,330304,1268340,483858,385053,343738,278228,449952,388163,430405,496902,852361,471724,427659,424861,429527,423053,465338,493033,426035
2018,4,A,골목상권,1000270,동소문로26가길,3578610,1566770,2011846,436403,1662954,537942,390692,318061,232576,510245,432472,501366,586117,989708,558712,495480,496628,501049,489242,529020,555966,511236
2018,4,A,골목상권,1000271,동소문로2길,1613372,758840,854535,121226,482803,294853,262072,246120,206293,244449,248098,251467,264345,389141,215884,228103,226645,232037,228452,234198,233238,230696
2018,4,A,골목상권,1000272,동소문로6길,1380640,646713,733927,83018,425193,260029,227045,210588,174762,206528,207569,216426,226041,337036,187050,192201,193463,196222,194153,199491,201344,203768
2018,4,A,골목상권,1000273,보국문로16길,869699,450152,419554,72040,290897,128792,129100,122382,126500,155550,149056,134093,140492,181542,108977,123116,126016,123670,124534,119192,126223,126957
2018,4,A,골목상권,1000274,보문로13길,1360400,712889,647517,71123,363394,257235,219503,246542,202601,230556,256946,232320,222301,268280,149993,197302,197702,198662,198126,199914,179972,188723
2018,4,A,골목상권,1000275,보문로26길,1520704,699280,821436,91963,615798,261227,183814,193022,174883,232784,278128,265336,258927,316627,168899,227384,224426,221711,222548,220035,201122,203479
2018,4,A,골목상권,1000276,보문로31길,2239928,1037987,1201945,156687,731209,406286,333644,343301,268807,355603,362750,357389,352572,521870,289759,321553,317323,319508,319212,332192,324594,305539
2018,4,A,골목상권,1000277,보문로32길,3429033,1453579,1975457,365756,1652438,531489,362059,307235,210064,489978,403050,484427,546769,958397,546425,469304,476207,474570,467799,498630,530719,511818
2018,4,A,골목상권,1000278,삼선교로10길,2160617,1027713,1132903,204119,746455,356364,326327,289792,237554,339023,348137,349894,364756,489483,269337,316656,311613,325180,316277,309577,289094,292215
2018,4,A,골목상권,1000279,삼선교로10다길,1932990,913607,1019380,227050,749856,282637,267007,222746,183691,263653,312701,339156,358337,440065,219079,293180,289798,303446,296694,276469,236925,236467
2018,4,A,골목상권,1000280,삼선교로16가길,1742108,832583,909523,225905,670803,244532,240343,198604,161914,264542,302172,303141,315104,366816,190337,270530,263662,277385,269673,247691,204273,208883
2018,4,A,골목상권,1000281,삼양로8길,1393221,653233,739990,118490,231124,263522,291832,243332,244926,228537,238547,228661,253791,300861,142814,185424,188100,193536,192532,199850,217126,216642
2018,4,A,골목상권,1000282,성북로8길,858146,401176,456971,61652,239030,171443,141893,132881,111243,140241,157373,143431,138889,181091,97127,120502,121897,121361,121610,123972,123411,125395
2018,4,A,골목상권,1000283,솔샘로6길,766228,420832,345394,54935,267481,112162,105919,116397,109336,125915,124675,116243,124284,173712,101398,105616,104739,104022,102830,106737,120208,122062
2018,4,A,골목상권,1000284,아리랑로4길,3286859,1473738,1813130,380601,1423478,511876,392648,324444,253832,499997,429422,458013,529321,874595,495521,457049,455684,459660,449337,488086,513040,464026
2018,4,A,골목상권,1000285,안암로5길,1567230,859881,707364,92039,491464,281109,232313,253028,217282,224984,297638,293232,283245,311984,156137,236179,233889,236421,235696,233380,193628,198041
2018,4,A,골목상권,1000286,오패산로19길,1856299,881852,974458,162067,399734,328482,343587,322921,299517,297189,285111,288594,306072,433763,245579,253077,250608,252746,247160,264912,293312,294496
2018,4,A,골목상권,1000287,오패산로3길,1696348,813130,883219,140572,306396,306398,326367,317466,299157,284813,300873,264920,259967,370591,215179,229865,230590,233153,228304,239232,261560,273646
2018,4,A,골목상권,1000288,오패산로4길,2016561,894450,1122113,152486,511366,349984,366684,332416,303633,299014,342740,341127,347165,455656,230857,286621,288218,289633,280560,284391,304936,282203
2018,4,A,골목상권,1000289,인촌로17가길,1016087,472533,543562,65405,440078,164427,109442,120181,116556,160600,197913,180646,177026,196885,103012,156194,153109,151013,150349,145526,127679,132221
2018,4,A,골목상권,1000290,인촌로1길,2613182,1172848,1440338,202161,1014602,457222,344124,333971,261107,398518,393816,409264,416356,639740,355498,365026,367463,364455,366154,379383,386931,383772
2018,4,A,골목상권,1000291,개운사길,1697888,956881,741017,204051,989926,179674,122791,109358,92099,189719,192587,328115,305940,449293,232232,264150,264050,268998,277930,247857,207907,167011
2018,4,A,골목상권,1000292,인촌로24길,2770321,1632748,1137578,314583,1595862,307456,212498,188086,151853,341389,309731,507832,481506,733271,396588,424666,425285,431350,443397,404705,348373,292549
2018,4,A,골목상권,1000293,인촌로5길,2343976,988538,1355438,201353,1047828,391247,272018,245362,186166,342349,327926,366796,383315,596897,326695,328857,331185,327902,327168,336302,344921,347640
2018,4,A,골목상권,1000294,인촌로6길,1294124,680564,613573,72063,389648,236925,197064,214518,183916,209039,248398,224850,219307,254629,137898,189416,189291,189285,188517,189154,170663,177803
2018,4,A,골목상권,1000295,장월로1길,1362229,621204,741026,97373,430090,219084,208743,213757,193191,211052,235142,240013,230593,292505,152938,197691,195621,203478,198710,192175,186318,188234
2018,4,A,골목상권,1000296,장위로50길,658380,359902,298478,36087,137835,94079,106957,138724,144706,67541,125779,130775,120933,145781,67583,97471,93067,95733,94510,94265,89042,94310
2018,4,A,골목상권,1000297,정릉로26길,716826,357351,359475,56204,137991,135338,135968,124583,126751,142316,135854,101161,100936,145699,90864,97768,96864,97640,94729,100028,111098,118689
2018,4,A,골목상권,1000298,정릉로27길,1583085,805485,777604,146274,379863,272580,295150,241491,247746,348031,313427,218505,213659,291821,197653,220183,223356,221722,216845,218414,235763,246805
2018,4,A,골목상권,1000299,정릉로8길,192803,112134,80667,24263,105186,16727,14708,17174,14741,33485,35422,34473,30911,36654,21864,29188,30276,30334,30855,28114,22398,21639
2018,4,A,골목상권,1000300,종암로16길,1122828,554322,568508,89858,236895,196220,203536,196142,200165,189009,198400,179572,178939,242516,134399,160217,156149,157784,158257,163788,163575,163075
2018,4,A,골목상권,1000301,종암로19길,975710,479949,495763,79077,222158,160112,170320,165459,178585,157127,169372,154565,154615,217611,122434,136111,133254,133680,132593,139919,147767,152407
